# Vitis BLAS gemv golden -- alpha/beta overload, yr = alpha*(M x) + beta*y
# IEEE-754 bit patterns
# columns: ab_index logParEntries case row yr_bits
# n_cases M N n_ab
4 7 128 6
0 2 0 0 1107886606
0 2 0 1 1108593982
0 2 0 2 1108400862
0 2 0 3 1108284701
0 2 0 4 1107909309
0 2 0 5 1107816632
0 2 0 6 1107808571
0 2 1 0 1238386629
0 2 1 1 1238050572
0 2 1 2 3398810613
0 2 1 3 3391699015
0 2 1 4 1247469538
0 2 1 5 1250260834
0 2 1 6 1233753094
0 2 2 0 1085600924
0 2 2 1 3250661178
0 2 2 2 1059033504
0 2 2 3 3232639366
0 2 2 4 1086462171
0 2 2 5 1096864983
0 2 2 6 1085606758
0 2 3 0 1254498773
0 2 3 1 3418242771
0 2 3 2 3417924938
0 2 3 3 1267551231
0 2 3 4 3402495623
0 2 3 5 1254158910
0 2 3 6 1259249333
1 2 0 0 1027113254
1 2 0 1 1040919715
1 2 0 2 1057952192
1 2 0 3 1059324546
1 2 0 4 1044597797
1 2 0 5 1051609747
1 2 0 6 1063624793
1 2 1 0 3234841037
1 2 1 1 3322851474
1 2 1 2 3181803351
1 2 1 3 1131987242
1 2 1 4 1045742087
1 2 1 5 959819094
1 2 1 6 3351407278
1 2 2 0 1330820655
1 2 2 1 3438352423
1 2 2 2 1311224078
1 2 2 3 1311708435
1 2 2 4 1309619057
1 2 2 5 3464023857
1 2 2 6 3450378528
1 2 3 0 2967278589
1 2 3 1 2960118315
1 2 3 2 816144138
1 2 3 3 2945080379
1 2 3 4 2961706599
1 2 3 5 2966242761
1 2 3 6 805451921
2 2 0 0 1118511098
2 2 0 1 1119377453
2 2 0 2 1119052897
2 2 0 3 1118891612
2 2 0 4 1118510835
2 2 0 5 1118365558
2 2 0 6 1118246057
2 2 1 0 1250045166
2 2 1 1 1249822424
2 2 1 2 3409652466
2 2 1 3 3402860867
2 2 1 4 1258867693
2 2 1 5 1260836154
2 2 1 6 1244993032
2 2 2 0 3483240611
2 2 2 1 1295307289
2 2 2 2 3464202645
2 2 2 3 3464712142
2 2 2 4 3461795114
2 2 2 5 1320852325
2 2 2 6 1308419504
2 2 3 0 1266133578
2 2 3 1 3429748360
2 2 3 2 3429351068
2 2 3 3 1278254847
2 2 3 4 3414211092
2 2 3 5 1265708750
2 2 3 6 1269974626
3 2 0 0 1079776229
3 2 0 1 1081022368
3 2 0 2 1081245573
3 2 0 3 1081162642
3 2 0 4 1079995856
3 2 0 5 1080035929
3 2 0 6 1080723352
3 2 1 0 1210490708
3 2 1 1 1210046650
3 2 1 2 3371143971
3 2 1 3 3364312805
3 2 1 4 1219434884
3 2 1 5 1221954512
3 2 1 6 1201786070
3 2 2 0 1316805279
3 2 2 1 3423643673
3 2 2 2 1296644830
3 2 2 3 1297226059
3 2 2 4 1294718805
3 2 2 5 3449112862
3 2 2 6 3435811162
3 2 3 0 1226735991
3 2 3 1 3390583363
3 2 3 2 3390329096
3 2 3 3 1239552818
3 2 3 4 3374630201
3 2 3 5 1226464101
3 2 3 6 1231302946
4 2 0 0 1250522992
4 2 0 1 1263493838
4 2 0 2 1280651423
4 2 0 3 1282696390
4 2 0 4 1267827208
4 2 0 5 1275190126
4 2 0 6 1286280641
4 2 1 0 3457862274
4 2 1 1 3545538512
4 2 1 2 3405254094
4 2 1 3 1354323498
4 2 1 4 1268679770
4 2 1 5 1183276094
4 2 1 6 3574651404
4 2 2 0 1553792527
4 2 2 1 3660816665
4 2 2 2 1534714183
4 2 2 3 1535275597
4 2 2 4 1532322515
4 2 2 5 3686359198
4 2 2 6 3673897751
4 2 3 0 3183769536
4 2 3 1 3198965624
4 2 3 2 3187359438
4 2 3 3 1042538419
4 2 3 4 3190454978
4 2 3 5 3182454110
4 2 3 6 1041250498
5 2 0 0 3269324954
5 2 0 1 3270382136
5 2 0 2 3269638678
5 2 0 3 3269366824
5 2 0 4 3269213868
5 2 0 5 3268911209
5 2 0 6 3268332747
5 2 1 0 3400088245
5 2 1 1 3399956646
5 2 1 2 1265848685
5 2 1 3 1258915138
5 2 1 4 3409040870
5 2 1 5 3411599871
