# Vitis BLAS gemv golden -- ap_fixed<16,8>, AS SHIPPED -- carries the dotHelper.hpp:98 ap_fixed defect
# y is the RAW STORED FIELD in hex (the ap_uint<W> the kernel wrote)
# columns: config logParEntries case row y_hex
# W I n_cases M N
16 8 4 3 32
trn_wrap 2 0 0 ffcd
trn_wrap 2 0 1 ffa4
trn_wrap 2 0 2 f
trn_wrap 2 1 0 d
trn_wrap 2 1 1 ff9b
trn_wrap 2 1 2 b
trn_wrap 2 2 0 fff1
trn_wrap 2 2 1 4b
trn_wrap 2 2 2 7a
trn_wrap 2 3 0 ff97
trn_wrap 2 3 1 2
trn_wrap 2 3 2 5c
trn_wrap 3 0 0 ffcd
trn_wrap 3 0 1 ffa4
trn_wrap 3 0 2 f
trn_wrap 3 1 0 d
trn_wrap 3 1 1 ff9b
trn_wrap 3 1 2 b
trn_wrap 3 2 0 fff1
trn_wrap 3 2 1 4b
trn_wrap 3 2 2 7a
trn_wrap 3 3 0 ff97
trn_wrap 3 3 1 2
trn_wrap 3 3 2 5c
trn_wrap 4 0 0 ffcd
trn_wrap 4 0 1 ffa4
trn_wrap 4 0 2 f
trn_wrap 4 1 0 d
trn_wrap 4 1 1 ff9b
trn_wrap 4 1 2 b
trn_wrap 4 2 0 fff1
trn_wrap 4 2 1 4b
trn_wrap 4 2 2 7a
trn_wrap 4 3 0 ff97
trn_wrap 4 3 1 2
trn_wrap 4 3 2 5c
rnd_wrap 2 0 0 ffcd
rnd_wrap 2 0 1 ffa4
rnd_wrap 2 0 2 f
rnd_wrap 2 1 0 d
rnd_wrap 2 1 1 ff9b
rnd_wrap 2 1 2 b
rnd_wrap 2 2 0 fff1
rnd_wrap 2 2 1 4b
rnd_wrap 2 2 2 7b
rnd_wrap 2 3 0 ff97
rnd_wrap 2 3 1 2
rnd_wrap 2 3 2 5c
rnd_wrap 3 0 0 ffcd
rnd_wrap 3 0 1 ffa4
rnd_wrap 3 0 2 f
rnd_wrap 3 1 0 d
rnd_wrap 3 1 1 ff9b
rnd_wrap 3 1 2 b
rnd_wrap 3 2 0 fff1
rnd_wrap 3 2 1 4b
rnd_wrap 3 2 2 7b
rnd_wrap 3 3 0 ff97
rnd_wrap 3 3 1 2
rnd_wrap 3 3 2 5c
rnd_wrap 4 0 0 ffcd
rnd_wrap 4 0 1 ffa4
rnd_wrap 4 0 2 f
rnd_wrap 4 1 0 d
rnd_wrap 4 1 1 ff9b
rnd_wrap 4 1 2 b
rnd_wrap 4 2 0 fff1
rnd_wrap 4 2 1 4b
rnd_wrap 4 2 2 7b
rnd_wrap 4 3 0 ff97
rnd_wrap 4 3 1 2
rnd_wrap 4 3 2 5c
trn_sat 2 0 0 14
trn_sat 2 0 1 ffa4
trn_sat 2 0 2 f
trn_sat 2 1 0 d
trn_sat 2 1 1 fffc
trn_sat 2 1 2 b
trn_sat 2 2 0 fff1
trn_sat 2 2 1 fffb
trn_sat 2 2 2 6f
trn_sat 2 3 0 ff97
trn_sat 2 3 1 2
trn_sat 2 3 2 e
trn_sat 3 0 0 14
trn_sat 3 0 1 ffa4
trn_sat 3 0 2 f
trn_sat 3 1 0 d
trn_sat 3 1 1 fffc
trn_sat 3 1 2 b
trn_sat 3 2 0 fff1
trn_sat 3 2 1 fffb
trn_sat 3 2 2 6f
trn_sat 3 3 0 ff97
trn_sat 3 3 1 2
trn_sat 3 3 2 e
trn_sat 4 0 0 14
trn_sat 4 0 1 ffa4
trn_sat 4 0 2 f
trn_sat 4 1 0 d
trn_sat 4 1 1 fffc
trn_sat 4 1 2 b
trn_sat 4 2 0 fff1
trn_sat 4 2 1 fffb
trn_sat 4 2 2 6f
trn_sat 4 3 0 ff97
trn_sat 4 3 1 2
trn_sat 4 3 2 e
rnd_sat 2 0 0 14
rnd_sat 2 0 1 ffa4
rnd_sat 2 0 2 f
rnd_sat 2 1 0 d
rnd_sat 2 1 1 fffc
rnd_sat 2 1 2 b
rnd_sat 2 2 0 fff1
rnd_sat 2 2 1 fffb
rnd_sat 2 2 2 6f
rnd_sat 2 3 0 ff97
rnd_sat 2 3 1 2
rnd_sat 2 3 2 e
rnd_sat 3 0 0 14
rnd_sat 3 0 1 ffa4
rnd_sat 3 0 2 f
rnd_sat 3 1 0 d
rnd_sat 3 1 1 fffc
rnd_sat 3 1 2 b
rnd_sat 3 2 0 fff1
rnd_sat 3 2 1 fffb
rnd_sat 3 2 2 6f
rnd_sat 3 3 0 ff97
rnd_sat 3 3 1 2
rnd_sat 3 3 2 e
rnd_sat 4 0 0 14
rnd_sat 4 0 1 ffa4
rnd_sat 4 0 2 f
rnd_sat 4 1 0 d
rnd_sat 4 1 1 fffc
rnd_sat 4 1 2 b
rnd_sat 4 2 0 fff1
rnd_sat 4 2 1 fffb
rnd_sat 4 2 2 6f
rnd_sat 4 3 0 ff97
rnd_sat 4 3 1 2
rnd_sat 4 3 2 e
