time,role,event,cmd_idx,label,rw,nwords,addr,tstart,tend,depth,ab_eq
2.7200000000000002e-06,host,mem,,data_in,write,128,4496,1.2000000000000002e-07,2.7200000000000002e-06,,
5.340317460317461e-06,host,mem,,data_in,write,128,5008,2.7200000000000002e-06,5.340317460317461e-06,,
5.782698412698412e-06,host,enqueue,0,,,,,5.782698412698412e-06,,,
6.234920634920633e-06,host,enqueue,1,,,,,6.234920634920633e-06,,,
6.644920634920632e-06,vmac,dequeue,0,,,,,6.644920634920632e-06,,,
6.674920634920632e-06,host,enqueue,2,,,,,6.674920634920632e-06,,,
9.274920634920632e-06,vmac,mem,0,A,read,128,4496,6.644920634920632e-06,9.274920634920632e-06,,1
9.634920634920632e-06,vmac,mem,0,Y_anorm,write,16,5520,9.274920634920632e-06,9.634920634920632e-06,,1
3.182955366244357e-05,vmac,dequeue,1,,,,,3.182955366244357e-05,,,
3.447492063492062e-05,vmac,mem,1,A,read,128,4496,3.182955366244357e-05,3.447492063492062e-05,,0
3.709492063492062e-05,vmac,mem,1,B,read,128,5008,3.447492063492062e-05,3.709492063492062e-05,,0
3.7454920634920624e-05,vmac,mem,1,Y_abcorr,write,16,5584,3.709492063492062e-05,3.7454920634920624e-05,,0
5.701418668996651e-05,vmac,dequeue,2,,,,,5.701418668996651e-05,,,
